Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Слюсар;Віктор;Варфоломійович;Чоловік;11-05-1987;Астрофізик;хутір Южне;набережна Першотравневий 1-й, буд. 06, Бережани, 99724;+380 84 800-53-75;wnehoda@example.net
Адаменко;Нестор;Антонович;Чоловік;09-06-1978;Секретар;селище Комарно;вулиця Маршала Бабаджаняна, буд. 616 кв. 7, Лебедин, 81803;+380 98 634-09-54;vasylyna39@example.org
Нестайко;Христина;Гаврилівна;Жінка;06-10-2006;М'ясник;хутір Перемишляни;провулок Івасюка Володимира, буд. 070, Святогірськ, 65316;+380 45 230 64 57;iustym52@example.org
Влох;Василина;Леонідівна;Жінка;17-05-1998;Дерун;місто Деражня;набережна Вєтрова, буд. 046 кв. 6, Бобровиця, 32400;708 21 19;upiddubnyi@example.org
Затовканюк;Ірена;Ростиславівна;Жінка;13-02-1975;Редактор;хутір Зміїв;шосе Морський 2-й, буд. 88 кв. 383, Мукачево, 10905;+380 07 478-18-70;nieroshenko@example.net
Бгиденко;Емілія;Парменівна;Жінка;21-02-1969;Юрист;селище Мерефа;провулок 1-ша Лінія Марії Демченко, буд. 5 кв. 7, Генічеськ, 06304;324-39-38;korpaniukorkhyp@example.net
Самойленко;Демид;Богодарович;Чоловік;22-10-1981;Нотаріус;селище Нетішин;набережна Марії Демченко, буд. 54, Тальне, 80963;+380 31 492 77 08;eandroshchuk@example.net
Баранник;Нестор;Гордійович;Чоловік;03-09-1997;Кінолог;хутір Гнівань;проспект Сімферопольська, буд. 268 кв. 6, Армянськ, 73029;+380 55 260-98-67;hdeisun@example.org
Гайдамака;Зиновій;Іванович;Чоловік;21-10-1950;Зоолог;селище Мала Виска;провулок Капітана Кузнецова, буд. 920 кв. 534, Буськ, 94427;+380 18 570-08-34;oles02@example.net
Івасюк;Августин;Спасович;Чоловік;22-09-1950;Ювелір;село Ямпіль;узвіз Красива, буд. 80, Зоринськ, 51999;+380 67 566 09 25;danna38@example.org
Гавришкевич;Станіслав;Макарович;Чоловік;16-09-1981;Кінорежисер;місто Новоград-Волинський;шосе Анни Ахматової, буд. 092, Алчевськ, 73830;+380 68 380 59 84;cprykhodko@example.org
Юхименко;Арсен;Болеславович;Чоловік;15-04-1980;Стоматолог;хутір Бершадь;вулиця Юннатів 2-й, буд. 3, Лутугине, 96830;+380 74 899 02 75;alina54@example.org
Ванченко;Емілія;Францівна;Жінка;20-07-1966;Реставратор;хутір Торецьк;набережна Новгородський, буд. 806, Сарни, 36089;011 182-12-90;fatamaniuk@example.com
Тимчук;Оксенія;Теодорівна;Жінка;24-08-1971;Клоун;село Алушта;сквер Гвоздична, буд. 0 кв. 549, Нове Давидково, 06299;+380 (13) 356-11-77;amaliiadanchenko@example.com
Дзиндра;Єлисавета;Лукʼянівна;Жінка;13-01-1959;Геофізик;селище Канів;сквер Львівська, буд. 3, Українськ, 80880;+380 (15) 991-62-27;anton42@example.org
Артеменко;Мартин;Григорійович;Чоловік;20-08-1959;Гірничий інженер;село Малин;вулиця Успенська, буд. 032 кв. 854, Бершадь, 16755;078 427-23-72;malykkamilla@example.org
Карпа;Охрім;Семенович;Чоловік;31-07-1989;Науковець;село Тульчин;набережна Волзький, буд. 5 кв. 44, Олевськ, 14771;+380 (89) 329-93-21;leonidvyshniak@example.org
Бабʼяк;Пармен;Семенович;Чоловік;10-02-1980;Прокурор;селище Чортків;провулок Іспанський, буд. 1, Дубно, 38490;+380 40 660-40-05;alevtynasaula@example.com
Примаченко;Валентина;Владиславівна;Жінка;07-12-1969;Громадський діяч;хутір Берегове;проспект 19-й км Старокиївської дороги, буд. 9, Горлівка, 10164;+380 23 412-51-57;nieshchenko@example.org
Данько;Орест;Францович;Чоловік;15-08-1950;М'ясник;село Торецьк;вулиця Дежньова, буд. 004, Кам'янка-Дніпровська, 14024;+380 45 844-94-09;onufriienkoklyment@example.com
Корбут;Клавдія;Святославівна;Жінка;29-01-1957;Маркетолог;місто Нікополь;набережна Рибальський, буд. 88 кв. 5, Полонне, 41958;008 75 40;fzabila@example.org
Дахно;Олена;Веніяминівна;Жінка;17-06-1952;Мистецтвознавець;хутір Вінниця;набережна Дача Ковалевського, буд. 057 кв. 9, Приморськ (Україна), 14854;+380 45 911-83-02;orysiarudko@example.net
Зінкевич;Людмила;Омелянівна;Жінка;03-10-1988;Інженер;селище Щолкіне;площа Лютеранський, буд. 3 кв. 1, Глухів, 84883;+380 29 370-99-50;samoilenkoiaroslava@example.com
Забашта;Гаврило;Леонтійович;Чоловік;19-04-2006;Диригент;хутір Бучач;набережна 10-та Суворовська, буд. 56 кв. 3, Тетіїв, 59066;+380 53 184-19-03;havrylodrobakha@example.com
Єрьоменко;Євген;Юстимович;Чоловік;23-10-1944;Паралегал;селище Шостка;парк Балтський 4-й, буд. 4, Бердичів, 32969;640-21-87;anastasiiakonoplia@example.com
Чубай;Костянтин;Валерійович;Чоловік;26-03-1985;Пілот;місто Гайворон;вулиця Немировича-Данченка, буд. 32 кв. 903, Новоселиця, 52377;+380 (02) 632-98-64;semen34@example.com
Товстоліс;Артем;Леонтійович;Чоловік;19-06-1997;Євнух;місто Острог;вулиця Касима Юрія, буд. 57, Прип'ять , 81735;058 883 59 42;anitagzhytskyi@example.org
Ємельяненко;Остап;Демидович;Чоловік;30-05-2005;Медик;селище Дубно;парк Куяльницький міст, буд. 138 кв. 221, Костопіль, 39846;+380 18 841-26-39;eatamanchuk@example.org
Гайдай;Едита;Давидівна;Жінка;19-02-1979;Співак;село Радомишль;набережна Наявний 7-й, буд. 947, Угнів, 34624;517 02 63;sviatoslavkabaliuk@example.org
Ґереґа;Прохір;Назарович;Чоловік;05-10-1983;Електротехнік;хутір Васильків;сквер Академіка Глушка, буд. 04 кв. 81, Родинське, 90233;+380 54 686-88-84;hannasuprunenko@example.com
Ґалаґан;Устим;Миколайович;Чоловік;16-04-1972;Юрист;село Чуднів;вулиця Заньковецької, буд. 51, Бунге , 67851;024 634 69 98;vivcharenkoparmen@example.net
Іваненко;Віра;Теодорівна;Жінка;31-03-1969;Гірничий інженер;місто Самбір;парк Нежданової, буд. 14, Бердичів, 76612;025 32 30;rudykomelian@example.net
Артюх;Антон;Азарович;Чоловік;02-09-1979;Лікар;хутір Здолбунів;вулиця Лавкова, буд. 31, Новодністровськ, 37343;+380 (26) 036-38-82;orobetsoleksa@example.com
Жаліло;Соломон;Леопольдович;Чоловік;10-01-1996;Пілот;селище Рава-Руська;набережна 8-ма Лінія Дачі Ковалевського, буд. 46, Харцизьк, 15599;+380 83 583-85-98;roksolanahavrylyshyn@example.net
Демиденко;Семен;Федірович;Чоловік;11-05-1954;Фрілансер;село Глухів;шосе Проектна 1-ша, буд. 336, Синельникове, 28810;+380 63 400-57-66;nestorfartushniak@example.com
Даниленко;Опанас;Андрійович;Чоловік;02-08-1983;Бібліотекар;селище Винники;сквер Заводська 1-ша, буд. 6, Бердянськ, 46848;017 743 36 86;opanasverhun@example.com
Рева;Пріска;Орестівна;Жінка;02-12-1946;Письменник;селище Нетішин;парк Колонтаївська, буд. 71 кв. 14, Краматорськ, 75907;005 608-87-79;borys20@example.com
Сагаль;Аарон;Варфоломійович;Чоловік;29-03-1972;Кур'єр;хутір Городок;провулок Кар’єрна, буд. 5, Мерефа, 67027;+380 33 099-79-25;anastasiiazaiets@example.net
Худяк;Спас;Амвросійович;Чоловік;07-02-1977;Ріелтор;селище Вижниця;площа Люстдорфський, буд. 7 кв. 251, Южне, 79298;060 516-72-03;lupiimykhailyna@example.net
Гузій;Аніта;Євгенівна;Жінка;12-10-1980;Географ;місто Турка;проспект Іспанська, буд. 5 кв. 21, Вашківці, 25690;+380 (92) 430-13-69;coberemko@example.com
